PARTICIPANT,ITEM,FCTASG,FCFTAGR,EPT,GROUP,Frequent,number,LIKERT,MINT
L2SPAN013,habitaciones,1,1,1,L2SPANISH,f,p,4,27
L2SPAN013,soledades,1,1,0,L2SPANISH,nf,p,3,27
L2SPAN013,habitacion,1,1,1,L2SPANISH,f,s,5,27
L2SPAN013,oraciones,1,1,1,L2SPANISH,f,p,7,27
L2SPAN013,soledad,0,0,0,L2SPANISH,nf,s,3,27
L2SPAN013,ciudades,1,1,1,L2SPANISH,f,p,6,27
L2SPAN013,inundacion,1,1,1,L2SPANISH,nf,s,3,27
L2SPAN013,canciones,1,1,1,L2SPANISH,f,p,6,27
L2SPAN014,ciudad,0,0,0,L2SPANISH,f,s,4,14
L2SPAN014,hermandades,0,1,0,L2SPANISH,nf,p,1,14
L2SPAN014,oracion,0,0,0,L2SPANISH,f,s,3,14
L2SPAN014,cancion ,0,0,0,L2SPANISH,f,s,4,14
L2SPAN014,respiracion,0,0,0,L2SPANISH,nf,s,3,14
L2SPAN014,hermandad,0,1,0,L2SPANISH,nf,s,1,14
L2SPAN014,inundaciones,0,0,0,L2SPANISH,nf,p,1,14
L2SPAN014,respiraciones,0,0,0,L2SPANISH,nf,p,2,14
L2SPAN014,habitaciones,0,0,1,L2SPANISH,f,p,2,14
L2SPAN014,soledades,0,1,0,L2SPANISH,nf,p,1,14
L2SPAN014,habitacion,0,1,0,L2SPANISH,f,s,2,14
L2SPAN014,oraciones,0,1,1,L2SPANISH,f,p,1,14
L2SPAN014,soledad,0,0,0,L2SPANISH,nf,s,1,14
L2SPAN014,ciudades,1,1,1,L2SPANISH,f,p,4,14
L2SPAN014,inundacion,0,0,0,L2SPANISH,nf,s,1,14
L2SPAN014,canciones,0,1,0,L2SPANISH,f,p,4,14
L2ESPAN015,ciudad,1,1,1,L2SPANISH,f,s,6,26
L2ESPAN015,hermandades,0,1,0,L2SPANISH,nf,p,1,26
L2ESPAN015,oracion,1,1,0,L2SPANISH,f,s,7,26
L2ESPAN015,cancion ,1,1,0,L2SPANISH,f,s,7,26
L2ESPAN015,respiracion,1,1,1,L2SPANISH,nf,s,2,26
L2ESPAN015,hermandad,0,0,0,L2SPANISH,nf,s,1,26
L2ESPAN015,inundaciones,1,1,0,L2SPANISH,nf,p,1,26
L2ESPAN015,respiraciones,1,1,1,L2SPANISH,nf,p,4,26
L2ESPAN015,habitaciones,1,1,0,L2SPANISH,f,p,7,26
L2ESPAN015,soledades,1,1,0,L2SPANISH,nf,p,3,26
L2ESPAN015,habitacion,1,1,0,L2SPANISH,f,s,7,26
L2ESPAN015,oraciones,1,1,0,L2SPANISH,f,p,7,26
L2ESPAN015,soledad,1,1,0,L2SPANISH,nf,s,2,26
L2ESPAN015,ciudades,1,1,1,L2SPANISH,f,p,7,26
L2ESPAN015,inundacion,1,1,1,L2SPANISH,nf,s,1,26
L2ESPAN015,canciones,1,1,0,L2SPANISH,f,p,8,26
L2SPAN020,ciudad,1,1,1,L2SPANISH,f,s,5,28
L2SPAN020,hermandades,1,1,1,L2SPANISH,nf,p,1,28
L2SPAN020,oracion,1,1,1,L2SPANISH,f,s,5,28
L2SPAN020,cancion ,1,1,1,L2SPANISH,f,s,3,28
L2SPAN020,respiracion,1,1,1,L2SPANISH,nf,s,2,28
L2SPAN020,hermandad,1,1,0,L2SPANISH,nf,s,1,28
L2SPAN020,inundaciones,1,1,1,L2SPANISH,nf,p,2,28
L2SPAN020,respiraciones,1,1,1,L2SPANISH,nf,p,2,28
L2SPAN020,habitaciones,1,1,1,L2SPANISH,f,p,2,28
L2SPAN020,soledades,1,1,1,L2SPANISH,nf,p,2,28
L2SPAN020,habitacion,1,1,1,L2SPANISH,f,s,3,28
L2SPAN020,oraciones,1,1,1,L2SPANISH,f,p,5,28
L2SPAN020,soledad,1,1,1,L2SPANISH,nf,s,2,28
L2SPAN020,ciudades,1,1,1,L2SPANISH,f,p,5,28
L2SPAN020,inundacion,1,1,1,L2SPANISH,nf,s,2,28
L2SPAN020,canciones,1,1,0,L2SPANISH,f,p,3,28
L2SPAN021,ciudad,1,1,0,L2SPANISH,f,s,7,19
L2SPAN021,hermandades,0,1,0,L2SPANISH,nf,p,5,19
L2SPAN021,oracion,1,0,0,L2SPANISH,f,s,7,19
L2SPAN021,cancion ,1,1,0,L2SPANISH,f,s,7,19
L2SPAN021,respiracion,1,1,0,L2SPANISH,nf,s,5,19
L2SPAN021,hermandad,1,1,1,L2SPANISH,nf,s,5,19
L2SPAN021,inundaciones,0,0,0,L2SPANISH,nf,p,5,19
L2SPAN021,respiraciones,1,1,0,L2SPANISH,nf,p,4,19
L2SPAN021,habitaciones,0,1,0,L2SPANISH,f,p,5,19
L2SPAN021,soledades,0,1,0,L2SPANISH,nf,p,6,19
L2SPAN021,habitacion,1,1,0,L2SPANISH,f,s,6,19
L2SPAN021,oraciones,0,1,1,L2SPANISH,f,p,8,19
L2SPAN021,soledad,1,0,0,L2SPANISH,nf,s,6,19
L2SPAN021,ciudades,1,1,0,L2SPANISH,f,p,7,19
L2SPAN021,inundacion,0,1,0,L2SPANISH,nf,s,5,19
L2SPAN021,canciones,1,1,0,L2SPANISH,f,p,7,19
L2SPAN022,ciudad,1,1,0,L2SPANISH,f,s,7,31
L2SPAN022,hermandades,1,0,0,L2SPANISH,nf,p,1,31
L2SPAN022,oracion,1,1,1,L2SPANISH,f,s,4,31
L2SPAN022,cancion ,1,1,1,L2SPANISH,f,s,8,31
L2SPAN022,respiracion,1,1,1,L2SPANISH,nf,s,2,31
L2SPAN022,hermandad,1,0,0,L2SPANISH,nf,s,1,31
L2SPAN022,inundaciones,1,1,1,L2SPANISH,nf,p,1,31
L2SPAN022,respiraciones,1,1,1,L2SPANISH,nf,p,3,31
L2SPAN022,habitaciones,1,1,1,L2SPANISH,f,p,3,31
L2SPAN022,soledades,1,0,0,L2SPANISH,nf,p,6,31
L2SPAN022,habitacion,1,1,1,L2SPANISH,f,s,6,31
L2SPAN022,oraciones,1,1,1,L2SPANISH,f,p,3,31
L2SPAN022,soledad,0,0,0,L2SPANISH,nf,s,7,31
L2SPAN022,ciudades,0,0,0,L2SPANISH,f,p,7,31
L2SPAN022,inundacion,1,1,1,L2SPANISH,nf,s,1,31
L2SPAN022,canciones,1,1,1,L2SPANISH,f,p,9,31
L2SPAN024,ciudad,1,1,1,L2SPANISH,f,s,4,12
L2SPAN024,hermandades,1,1,1,L2SPANISH,nf,p,1,12
L2SPAN024,oracion,1,1,0,L2SPANISH,f,s,1,12
L2SPAN024,cancion ,1,1,1,L2SPANISH,f,s,3,12
L2SPAN024,respiracion,0,0,0,L2SPANISH,nf,s,2,12
L2SPAN024,hermandad,1,0,0,L2SPANISH,nf,s,1,12
L2SPAN024,inundaciones,0,1,0,L2SPANISH,nf,p,1,12
L2SPAN024,respiraciones,0,0,0,L2SPANISH,nf,p,2,12
L2SPAN024,habitaciones,1,1,1,L2SPANISH,f,p,1,12
L2SPAN024,soledades,0,1,1,L2SPANISH,nf,p,2,12
L2SPAN024,habitacion,1,1,1,L2SPANISH,f,s,2,12
L2SPAN024,oraciones,1,1,1,L2SPANISH,f,p,1,12
L2SPAN024,soledad,0,0,0,L2SPANISH,nf,s,1,12
L2SPAN024,ciudades,1,0,1,L2SPANISH,f,p,4,12
L2SPAN024,inundacion,0,1,0,L2SPANISH,nf,s,1,12
L2SPAN024,canciones,0,1,1,L2SPANISH,f,p,4,12
L2SPAN025,ciudad,1,1,1,L2SPANISH,f,s,6,34
L2SPAN025,hermandades,1,1,0,L2SPANISH,nf,p,1,34
L2SPAN025,oracion,1,1,1,L2SPANISH,f,s,8,34
L2SPAN025,cancion ,1,1,1,L2SPANISH,f,s,6,34
L2SPAN025,respiracion,1,1,1,L2SPANISH,nf,s,1,34
L2SPAN025,hermandad,1,1,1,L2SPANISH,nf,s,1,34
L2SPAN025,inundaciones,1,1,0,L2SPANISH,nf,p,1,34
L2SPAN025,respiraciones,1,1,1,L2SPANISH,nf,p,1,34
L2SPAN025,habitaciones,1,1,1,L2SPANISH,f,p,3,34
L2SPAN025,soledades,1,1,1,L2SPANISH,nf,p,1,34
L2SPAN025,habitacion,1,1,1,L2SPANISH,f,s,8,34
L2SPAN025,oraciones,1,1,0,L2SPANISH,f,p,7,34
L2SPAN025,soledad,1,1,1,L2SPANISH,nf,s,1,34
L2SPAN025,ciudades,1,1,1,L2SPANISH,f,p,5,34
L2SPAN025,inundacion,1,1,1,L2SPANISH,nf,s,1,34
L2SPAN025,canciones,1,1,1,L2SPANISH,f,p,5,34
L2SPAN026,ciudad,1,1,1,L2SPANISH,f,s,7,40
L2SPAN026,hermandades,1,1,1,L2SPANISH,nf,p,1,40
L2SPAN026,oracion,1,1,1,L2SPANISH,f,s,5,40
L2SPAN026,cancion ,1,1,1,L2SPANISH,f,s,6,40
L2SPAN026,respiracion,1,1,1,L2SPANISH,nf,s,4,40
L2SPAN026,hermandad,1,1,1,L2SPANISH,nf,s,1,40
L2SPAN026,inundaciones,1,1,1,L2SPANISH,nf,p,4,40
L2SPAN026,respiraciones,1,1,1,L2SPANISH,nf,p,4,40
L2SPAN026,habitaciones,1,1,1,L2SPANISH,f,p,3,40
L2SPAN026,soledades,1,1,1,L2SPANISH,nf,p,2,40
L2SPAN026,habitacion,1,1,1,L2SPANISH,f,s,5,40
L2SPAN026,oraciones,1,1,1,L2SPANISH,f,p,4,40
L2SPAN026,soledad,1,1,1,L2SPANISH,nf,s,4,40
L2SPAN026,ciudades,1,1,1,L2SPANISH,f,p,6,40
L2SPAN026,inundacion,1,1,1,L2SPANISH,nf,s,4,40
L2SPAN026,canciones,0,1,1,L2SPANISH,f,p,4,40
L2SPAN027,ciudad,1,1,1,L2SPANISH,f,s,5,37
L2SPAN027,hermandades,1,1,1,L2SPANISH,nf,p,2,37
L2SPAN027,oracion,1,1,1,L2SPANISH,f,s,7,37
L2SPAN027,cancion ,1,1,1,L2SPANISH,f,s,5,37
L2SPAN027,respiracion,1,1,1,L2SPANISH,nf,s,5,37
L2SPAN027,hermandad,1,1,1,L2SPANISH,nf,s,2,37
L2SPAN027,inundaciones,1,1,1,L2SPANISH,nf,p,2,37
L2SPAN027,respiraciones,1,1,1,L2SPANISH,nf,p,4,37
L2SPAN027,habitaciones,1,1,1,L2SPANISH,f,p,5,37
L2SPAN027,soledades,1,1,1,L2SPANISH,nf,p,2,37
L2SPAN027,habitacion,1,1,1,L2SPANISH,f,s,6,37
L2SPAN027,oraciones,1,1,1,L2SPANISH,f,p,5,37
L2SPAN027,soledad,1,1,1,L2SPANISH,nf,s,4,37
L2SPAN027,ciudades,1,1,1,L2SPANISH,f,p,5,37
L2SPAN027,inundacion,1,1,1,L2SPANISH,nf,s,2,37
L2SPAN027,canciones,1,1,1,L2SPANISH,f,p,5,37
L2SPAN028,ciudad,1,1,0,L2SPANISH,f,s,5,17
L2SPAN028,hermandades,0,0,0,L2SPANISH,nf,p,1,17
L2SPAN028,oracion,1,1,0,L2SPANISH,f,s,5,17
L2SPAN028,cancion ,1,1,0,L2SPANISH,f,s,9,17
L2SPAN028,respiracion,1,1,0,L2SPANISH,nf,s,2,17
L2SPAN028,hermandad,1,0,0,L2SPANISH,nf,s,1,17
L2SPAN028,inundaciones,1,0,0,L2SPANISH,nf,p,1,17
L2SPAN028,respiraciones,1,0,0,L2SPANISH,nf,p,2,17
L2SPAN028,habitaciones,1,1,0,L2SPANISH,f,p,5,17
L2SPAN028,soledades,0,0,0,L2SPANISH,nf,p,1,17
L2SPAN028,habitacion,1,1,0,L2SPANISH,f,s,5,17
L2SPAN028,oraciones,1,1,0,L2SPANISH,f,p,6,17
L2SPAN028,soledad,1,0,0,L2SPANISH,nf,s,1,17
L2SPAN028,ciudades,1,1,0,L2SPANISH,f,p,5,17
L2SPAN028,inundacion,1,0,0,L2SPANISH,nf,s,1,17
L2SPAN028,canciones,0,0,0,L2SPANISH,f,p,8,17
L2SPAN029,ciudad,1,1,1,L2SPANISH,f,s,5,13
L2SPAN029,hermandades,1,1,1,L2SPANISH,nf,p,1,13
L2SPAN029,oracion,1,1,1,L2SPANISH,f,s,4,13
